Code,Name,MV,Revenue,RevenueG,Profits,ProfitsG,PE,PB,GP,NP,ROE,BVPS,LEV,URL
600067,冠城大通,107.10,24.29,-16.90,0.34,-89.00,180.00,1.54,17.67,1.85,0.49,4.67,57.39,http://quote.eastmoney.com/sh600067.html,,
600068,葛洲坝,398.30,392.80,16.09,14.42,14.85,13.91,1.67,13.28,4.45,6.86,5.16,77.90,http://quote.eastmoney.com/sh600068.html,,
600069,银鸽投资,113.40,11.90,-3.08,-0.75,0.00,0.00,4.84,7.54,-7.32,-3.16,1.88,57.51,http://quote.eastmoney.com/sh600069.html,,
600070,浙江富润,49.96,4.14,4.77,0.06,2188.00,443.35,6.22,16.09,5.27,0.60,2.25,45.53,http://quote.eastmoney.com/sh600070.html,,
600071,凤凰光学,71.93,3.25,-10.97,-0.32,0.00,0.00,15.19,7.20,-10.36,-6.60,1.99,39.44,http://quote.eastmoney.com/sh600071.html,,
600072,钢构工程,74.01,3.06,-30.71,-0.51,0.00,0.00,6.75,-1.81,-21.13,-4.48,2.29,40.78,http://quote.eastmoney.com/sh600072.html,,
600073,上海梅林,113.40,97.30,6.46,2.91,137.00,29.25,3.49,16.00,4.77,9.35,3.46,49.64,http://quote.eastmoney.com/sh600073.html,,
600074,保千里,420.30,14.14,185.82,3.36,227.00,62.50,11.08,45.59,23.78,20.75,1.55,56.09,http://quote.eastmoney.com/sh600074.html,,
600075,新疆天业,88.43,28.70,17.69,2.69,101.00,16.45,2.40,25.58,9.41,11.56,5.30,72.53,http://quote.eastmoney.com/sh600075.html,,
600076,康欣新材,133.80,6.20,57.03,1.95,79.76,34.05,4.89,40.28,31.37,7.38,2.64,27.31,http://quote.eastmoney.com/sh600076.html,,
600077,宋都股份,84.43,49.68,174.95,0.85,640.00,73.83,2.19,14.61,1.94,2.22,2.88,63.85,http://quote.eastmoney.com/sh600077.html,,
600078,澄星股份,46.51,14.77,14.00,0.26,26.79,88.86,2.58,13.74,1.55,1.46,2.72,68.56,http://quote.eastmoney.com/sh600078.html,,
600079,人福医药,268.80,57.15,27.70,4.27,42.34,31.67,3.30,35.91,9.59,5.31,6.33,61.79,http://quote.eastmoney.com/sh600079.html,,
600080,金花股份,38.35,4.76,-17.34,0.25,15.83,113.03,3.58,63.47,5.36,2.41,3.51,26.19,http://quote.eastmoney.com/sh600080.html,,
600081,东风科技,48.48,35.87,8.52,0.78,-43.00,46.77,4.36,17.69,4.23,6.95,3.54,62.00,http://quote.eastmoney.com/sh600081.html,,
600082,海泰发展,42.26,5.44,45.76,-0.33,-485.00,0.00,2.45,3.09,-6.07,-1.90,2.67,50.27,http://quote.eastmoney.com/sh600082.html,,
600083,博信股份,48.51,0.41,-39.00,0.03,-72.00,878.75,88.12,35.52,11.02,4.67,0.24,46.44,http://quote.eastmoney.com/sh600083.html,,
600084,中葡股份,122.80,1.27,-25.41,-0.47,0.00,0.00,5.11,55.95,-37.85,-1.94,2.14,33.18,http://quote.eastmoney.com/sh600084.html,,
600085,同仁堂,424.60,63.85,12.15,5.63,14.94,37.66,6.01,48.14,14.90,7.60,5.15,27.86,http://quote.eastmoney.com/sh600085.html,,
600086,东方金钰,136.20,40.12,-7.39,1.95,-25.00,34.89,4.62,13.29,4.84,9.11,2.18,66.17,http://quote.eastmoney.com/sh600086.html,,
600087,退市长油,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,http://quote.eastmoney.com/sh600087.html,,
600088,中视传媒,79.31,2.26,-0.13,-0.03,-111.00,0.00,6.97,9.35,-3.80,-0.28,3.43,15.16,http://quote.eastmoney.com/sh600088.html,,
600089,特变电工,291.30,179.30,-3.57,12.13,9.26,12.02,1.36,19.21,7.82,5.65,6.60,66.44,http://quote.eastmoney.com/sh600089.html,,
600090,同济堂,187.20,37.55,-0.24,1.75,27.02,38.24,3.59,13.77,5.64,4.61,3.62,28.43,http://quote.eastmoney.com/sh600090.html,,
600091,ST明科,48.12,0.10,38.22,-0.35,0.00,0.00,5.72,2.32,-353.79,-4.01,1.92,30.33,http://quote.eastmoney.com/sh600091.html,,
600092,S*ST精密,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,http://quote.eastmoney.com/sh600092.html,,
600093,禾嘉股份,161.20,68.17,3666.59,2.56,502.00,31.49,2.77,6.47,4.15,4.47,5.18,37.33,http://quote.eastmoney.com/sh600093.html,,
600094,大名城,229.00,44.19,114.11,3.50,168.00,32.67,2.27,40.65,6.73,6.78,4.08,74.52,http://quote.eastmoney.com/sh600094.html,,
600095,哈高科,40.21,1.10,3.80,-0.09,0.00,0.00,5.76,39.89,-11.45,-1.25,1.93,33.17,http://quote.eastmoney.com/sh600095.html,,
600096,云天化,117.50,160.30,-36.93,-9.78,-2951.00,0.00,1.88,12.23,-6.07,-14.53,4.72,88.76,http://quote.eastmoney.com/sh600096.html,,
600097,开创国际,38.15,3.06,9.68,-1.18,0.00,0.00,5.64,2.39,-38.59,-16.15,3.34,59.57,http://quote.eastmoney.com/sh600097.html,,
600098,广州发展,229.00,106.60,25.99,4.97,-6.99,23.05,1.56,13.90,6.50,3.31,5.40,49.42,http://quote.eastmoney.com/sh600098.html,,
600099,林海股份,29.30,2.08,19.72,0.01,-6.98,1078.23,6.18,11.78,0.65,0.29,2.16,21.57,http://quote.eastmoney.com/sh600099.html,,
600100,同方股份,423.50,106.60,0.90,49.57,462.00,4.27,1.89,16.17,47.47,24.34,7.56,55.26,http://quote.eastmoney.com/sh600100.html,,
600101,明星电力,41.40,6.49,8.42,0.48,3.08,43.44,2.14,14.44,6.72,2.48,5.96,30.09,http://quote.eastmoney.com/sh600101.html,,
600102,莱钢股份,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,http://quote.eastmoney.com/sh600102.html,,
600103,青山纸业,120.10,11.27,11.16,0.03,0.00,2033.21,10.92,16.47,1.41,0.27,0.62,61.18,http://quote.eastmoney.com/sh600103.html,,
600104,上汽集团,2600.00,3463.00,8.30,150.60,6.31,8.63,1.62,12.40,6.15,8.34,14.59,57.89,http://quote.eastmoney.com/sh600104.html,,
600105,永鼎股份,113.60,10.50,8.68,1.14,21.11,49.67,4.97,16.15,13.11,5.08,2.42,32.21,http://quote.eastmoney.com/sh600105.html,,
600106,重庆路桥,64.18,1.57,-2.05,1.65,11.76,19.64,1.98,87.33,105.51,5.09,3.57,51.71,http://quote.eastmoney.com/sh600106.html,,
600107,美尔雅,71.64,2.11,-14.40,-0.13,-709.00,0.00,13.91,34.83,-6.46,-2.40,1.43,56.66,http://quote.eastmoney.com/sh600107.html,,
600108,亚盛集团,106.30,10.20,14.42,0.40,-54.00,133.82,2.28,18.94,3.76,0.85,2.40,37.77,http://quote.eastmoney.com/sh600108.html,,
600109,国金证券,388.60,21.47,-34.99,6.38,-48.00,30.45,2.33,0.00,29.71,3.82,5.51,67.54,http://quote.eastmoney.com/sh600109.html,,
600110,诺德股份,150.50,8.67,-1.41,0.20,-45.00,380.23,8.12,23.72,2.92,1.05,1.61,59.97,http://quote.eastmoney.com/sh600110.html,,
600111,北方稀土,457.80,35.65,-20.64,0.34,-89.00,1050.00,5.55,20.03,0.66,0.41,2.27,38.08,http://quote.eastmoney.com/sh600111.html,,
600112,天成控股,58.46,2.89,2.08,0.06,77.50,482.35,5.02,37.52,2.10,0.52,2.29,52.51,http://quote.eastmoney.com/sh600112.html,,
600113,浙江东日,64.68,1.64,-33.34,0.52,35.62,63.44,12.38,56.10,31.54,10.31,1.64,42.25,http://quote.eastmoney.com/sh600113.html,,
600114,东睦股份,63.85,10.38,3.76,1.09,-4.99,42.26,3.91,33.37,10.81,6.92,4.18,30.18,http://quote.eastmoney.com/sh600114.html,,
600115,东方航空,954.90,463.30,4.56,32.33,-9.29,13.41,2.04,18.56,7.63,8.81,3.23,76.60,http://quote.eastmoney.com/sh600115.html,,
600116,三峡水利,96.12,4.81,-3.26,1.18,6.51,36.30,3.98,38.90,24.80,5.17,2.33,48.50,http://quote.eastmoney.com/sh600116.html,,
